,synapse_id,pre_cell_id,pre_mtype,sectionlist_id,sectionlist_index,seg_x,synapse_type,dep,fac,use,tau_d,delay,weight,section_name,pre_mtype_name,synapse_model,GABAAB_ratio,e_GABAA,e_GABAB
0,0,42,1,2,77,0.205,1,569.0,18.0,0.20616069436073303,7.5581040382385245,1.13771,0.643526017666,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
1,1,42,1,2,34,0.624,1,534.0,17.0,0.19477008283138275,7.365339756011962,0.836846,0.595335006714,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
2,2,42,1,2,72,0.837,1,548.0,17.0,0.1992468535900116,7.44110059738159,1.07354,0.614275157452,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
3,3,42,1,2,72,0.771,1,499.0,16.0,0.1835550218820572,7.175546646118164,1.09707,0.547886669636,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
4,4,42,1,2,72,0.772,1,542.0,17.0,0.19728718698024747,7.407937049865722,1.10518,0.605984270573,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
5,5,42,1,2,72,0.772,1,593.0,18.0,0.21373696625232697,7.6863179206848145,1.10517,0.675579428673,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
6,6,42,1,2,58,0.978,1,679.0,20.0,0.24130736291408536,8.152894020080566,1.11558,0.792223453522,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
7,7,42,1,2,42,0.563,1,899.0,25.0,0.31206825375556946,9.350385665893553,0.763278,1.09159648418,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
8,8,42,1,2,31,0.377,1,320.0,12.0,0.1261230856180191,6.2036213874816895,0.548935,0.304905354977,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
9,9,42,1,2,73,0.957,1,425.0,15.0,0.15975181758403778,6.772723197937012,0.764375,0.447180747986,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
10,10,42,1,2,40,0.292,1,465.0,16.0,0.17253161966800687,6.988996505737305,0.685023,0.501249134541,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
11,11,97,3,2,37,0.242,1,1011.0,28.0,0.34798485040664673,9.958205223083496,1.08713,1.24355125427,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
12,12,97,3,2,27,0.369,1,1077.0,29.0,0.36901026964187617,10.314020156860352,1.99203,1.33250498772,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
13,13,97,3,2,19,0.988,1,871.0,25.0,0.30296799540519714,9.196381568908691,1.28508,1.05309534073,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
14,14,97,3,2,34,0.952,1,1077.0,29.0,0.3692026734352112,10.317276000976562,0.911594,1.33331906796,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
15,15,97,3,2,31,0.086,1,368.0,13.0,0.14158305525779724,6.465251445770264,0.930159,0.370312899351,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
16,16,97,3,2,83,0.839,1,714.0,21.0,0.25245025753974915,8.341465950012207,1.09976,0.839366495609,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
17,17,97,3,2,31,0.791,1,428.0,15.0,0.16070513427257535,6.788856029510497,0.678606,0.451214075089,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
18,18,97,3,2,75,0.263,1,968.0,27.0,0.33409157395362854,9.723088264465332,1.0142,1.18477201462,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
19,19,97,3,2,37,0.431,1,663.0,20.0,0.23604987561702728,8.063920974731445,1.1631,0.769980251789,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
20,20,97,3,2,37,0.474,1,725.0,21.0,0.25621798634529114,8.405227661132812,1.18076,0.855306923389,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
21,21,97,3,2,42,0.761,1,942.0,26.0,0.3256254196166992,9.579814910888672,1.35793,1.14895367622,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
22,22,97,3,2,49,0.996,1,681.0,20.0,0.24189892411231995,8.162904739379881,2.15695,0.794726192951,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
23,23,97,3,2,19,0.017,1,692.0,21.0,0.24541471898555756,8.222402572631836,1.3186,0.809600770473,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
24,24,97,3,2,30,0.797,1,374.0,14.0,0.14343030750751495,6.4965128898620605,1.07512,0.378128230572,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
25,25,97,3,2,23,0.551,1,738.0,22.0,0.260319858789444,8.47464370727539,1.43026,0.872660934925,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
26,26,97,3,2,23,0.7,1,806.0,23.0,0.2820274233818054,8.842002868652342,1.44892,0.964500665665,apical,L1_HAC,ProbGABAAB_EMS,0.75,-80.0,-75.84
27,27,115,1,2,73,0.803,1,1024.0,28.0,0.3520818054676056,10.027538299560547,0.715817,1.2608846426,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
28,28,115,1,2,40,0.436,1,715.0,21.0,0.2529291808605194,8.349571228027342,0.819228,0.841392755508,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
29,29,115,1,2,28,0.479,1,376.0,14.0,0.14422707259655,6.5099968910217285,0.674339,0.381499171257,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
30,30,115,1,2,80,0.068,1,426.0,15.0,0.16002748906612396,6.777388095855713,0.824713,0.448347061872,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
31,31,115,1,2,38,0.063,1,429.0,15.0,0.1611189991235733,6.7958598136901855,0.841727,0.452964991331,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
32,32,115,1,2,74,0.67,1,898.0,25.0,0.31152296066284174,9.34115791320801,1.26474,1.0892894268,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
33,33,115,1,2,40,0.874,1,461.0,16.0,0.1712750345468521,6.967731475830078,1.20956,0.495932847261,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
34,34,115,1,2,81,0.111,1,559.0,18.0,0.20290763676166532,7.503052234649657,1.11553,0.629763066769,apical,L1_NGC-DA,ProbGABAAB_EMS,0.75,-80.0,-75.84
