,synapse_id,pre_cell_id,pre_mtype,sectionlist_id,sectionlist_index,seg_x,synapse_type,dep,fac,use,tau_d,delay,weight,section_name,pre_mtype_name,synapse_model,mg,NMDA_ratio
96,96,483,6,2,70,0.238,116,673.0,17.0,0.5019365549087524,1.7574288845062256,1.68049,0.843124568462,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
97,97,483,6,2,70,0.276,116,664.0,15.0,0.4921302795410156,1.6691725254058836,1.7015,0.584239423275,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
98,98,483,6,2,16,0.876,116,686.0,22.0,0.5181519389152527,1.9033672809600832,1.17959,1.27121055126,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
99,99,483,6,2,16,0.902,116,667.0,16.0,0.4952855110168457,1.6975696086883545,1.20276,0.667537331581,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
100,100,634,6,2,101,0.453,116,666.0,16.0,0.4944745302200317,1.6902707815170288,2.70372,0.646127521992,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
101,101,634,6,2,112,0.271,116,670.0,17.0,0.499018669128418,1.7311680316925049,2.95427,0.766092956066,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
102,102,634,6,2,70,0.688,116,672.0,17.0,0.5012439489364624,1.7511957883834839,1.52253,0.824840903282,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
103,103,634,6,2,73,0.331,116,676.0,18.0,0.5058561563491821,1.7927055358886719,1.46208,0.94660282135,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
104,104,634,6,2,73,0.358,116,656.0,13.0,0.4825161397457122,1.5826454162597656,1.48895,0.330426454544,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
114,114,1024,6,2,16,0.691,116,656.0,13.0,0.48284283280372614,1.5855854749679563,0.473575,0.339050620794,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
115,115,1024,6,2,16,0.696,116,675.0,18.0,0.5044397711753845,1.7799580097198486,0.479792,0.909210264683,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
